Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
"1,164,667,156"	"4,839,874,552"	RK	18/07/26-17:15:02	WEIZEN	1	"0,083"	"200,90"	"1,000"	"490,30"	26.07.2018	Ein	"5,900"	Ja	"0,127"	"13,80"	"0,721"	"932,93"	"0,718"	"929,69"	Eingang	"0,00033"	7	"0,299"	"0,176"	4.57E-02	26.07.2018
"1,164,664,582"	"4,839,869,378"	RK	18/07/26-17:15:02	WEIZEN	2	"1,722"	"191,90"	"1,000"	"490,60"	26.07.2018	Ein	"5,900"	Ja	"1,567"	"13,80"	"0,428"	"554,59"	"0,427"	"552,67"	Eingang	"0,00052"	7	"6,199"	"3,658"	"0,00056"	26.07.2018
"1,164,664,231"	"4,839,868,270"	RK	18/07/26-17:15:02	WEIZEN	3	"1,250"	"194,00"	"1,000"	"490,63"	26.07.2018	Ein	"5,900"	Ja	"5,420"	"13,80"	"2,041"	"2643,0"	"2,034"	"2633,9"	Eingang	"-0,00018"	7	"4,500"	"2,655"	"0,0019"	26.07.2018
"1,164,663,938"	"4,839,867,485"	RK	18/07/26-17:15:02	WEIZEN	4	"0,972"	"195,60"	"1,000"	"490,69"	26.07.2018	Ein	"5,900"	Ja	"7,748"	"13,80"	"3,753"	"4859,5"	"3,740"	"4842,6"	Eingang	"0,00053"	7	"3,499"	"2,065"	"0,0028"	26.07.2018
"1,164,663,490"	"4,839,866,415"	RK	18/07/26-17:15:02	WEIZEN	5	"1,361"	"200,00"	"1,000"	"490,78"	26.07.2018	Ein	"5,900"	Ja	"10,46"	"13,80"	"3,618"	"4684,3"	"3,605"	"4668,0"	Eingang	"0,00063"	7	"4,900"	"2,891"	"0,0038"	26.07.2018
"1,164,662,853"	"4,839,865,254"	RK	18/07/26-17:15:02	WEIZEN	6	"1,250"	"202,40"	"1,000"	"490,85"	26.07.2018	Ein	"5,900"	Ja	"10,97"	"13,80"	"4,130"	"5348,0"	"4,116"	"5329,5"	Eingang	"0,00067"	7	"4,500"	"2,655"	"0,0039"	26.07.2018
"1,164,662,233"	"4,839,864,254"	RK	18/07/26-17:15:02	WEIZEN	7	"1,250"	"200,10"	"1,000"	"490,90"	26.07.2018	Ein	"5,900"	Ja	"11,26"	"13,80"	"4,242"	"5492,6"	"4,227"	"5473,5"	Eingang	"0,00048"	7	"4,500"	"2,655"	"0,0041"	26.07.2018
"1,164,661,682"	"4,839,863,257"	RK	18/07/26-17:15:02	WEIZEN	8	"1,250"	"198,10"	"1,000"	"490,98"	26.07.2018	Ein	"5,900"	Ja	"11,58"	"13,60"	"4,360"	"5645,6"	"4,355"	"5639,0"	Eingang	"-0,00029"	7	"4,500"	"2,655"	"0,0042"	26.07.2018
"1,164,661,184"	"4,839,862,241"	RK	18/07/26-17:15:02	WEIZEN	9	"1,250"	"200,80"	"1,000"	"491,02"	26.07.2018	Ein	"5,900"	Ja	"11,97"	"13,50"	"4,507"	"5836,0"	"4,507"	"5836,0"	Eingang	-1.85E-02	7	"4,500"	"2,655"	"0,0043"	26.07.2018
"1,164,660,589"	"4,839,861,198"	RK	18/07/26-17:15:02	WEIZEN	10	"1,250"	"202,00"	"1,000"	"491,06"	26.07.2018	Ein	"5,900"	Ja	"12,72"	"13,60"	"4,791"	"6203,9"	"4,786"	"6196,7"	Eingang	"0,00038"	7	"4,500"	"2,655"	"0,0046"	26.07.2018
"1,164,659,935"	"4,839,860,122"	RK	18/07/26-17:15:02	WEIZEN	11	"1,250"	"204,40"	"1,000"	"491,10"	26.07.2018	Ein	"5,900"	Ja	"12,72"	"13,60"	"4,791"	"6203,9"	"4,786"	"6196,7"	Eingang	"0,00043"	7	"4,500"	"2,655"	"0,0046"	26.07.2018
"1,164,659,255"	"4,839,859,129"	RK	18/07/26-17:15:02	WEIZEN	12	"1,250"	"201,30"	"1,000"	"491,15"	26.07.2018	Ein	"5,900"	Ja	"12,75"	"13,70"	"4,804"	"6219,9"	"4,793"	"6205,6"	Eingang	4.15E-02	7	"4,500"	"2,655"	"0,0046"	26.07.2018
"1,164,658,580"	"4,839,857,978"	RK	18/07/26-17:15:02	WEIZEN	13	"1,611"	"201,20"	"1,000"	"491,22"	26.07.2018	Ein	"5,900"	Ja	"12,08"	"13,70"	"3,529"	"4569,6"	"3,521"	"4559,0"	Eingang	"0,00053"	7	"5,800"	"3,422"	"0,0043"	26.07.2018
"1,164,657,830"	"4,839,856,695"	RK	18/07/26-17:15:02	WEIZEN	14	"1,750"	"203,90"	"1,000"	"491,32"	26.07.2018	Ein	"5,900"	Ja	"12,08"	"13,70"	"3,249"	"4206,6"	"3,241"	"4196,9"	Eingang	"0,00020"	7	"6,300"	"3,717"	"0,0043"	26.07.2018
"1,164,656,900"	"4,839,855,304"	RK	18/07/26-17:15:02	WEIZEN	15	"1,722"	"201,70"	"1,000"	"491,39"	26.07.2018	Ein	"5,900"	Ja	"12,99"	"13,50"	"3,550"	"4596,9"	"3,550"	"4596,9"	Eingang	"0,00018"	7	"6,199"	"3,658"	"0,0047"	26.07.2018
"1,164,656,045"	"4,839,853,875"	RK	18/07/26-17:15:02	WEIZEN	16	"1,611"	"198,60"	"1,000"	"491,43"	26.07.2018	Ein	"5,900"	Ja	"12,34"	"13,60"	"3,606"	"4669,3"	"3,602"	"4663,9"	Eingang	"0,00024"	7	"5,800"	"3,422"	"0,0044"	26.07.2018
"1,164,655,293"	"4,839,852,390"	RK	18/07/26-17:15:02	WEIZEN	17	"1,750"	"196,80"	"1,000"	"491,47"	26.07.2018	Ein	"5,900"	Ja	"12,13"	"13,60"	"3,263"	"4224,6"	"3,259"	"4219,7"	Eingang	"0,00025"	7	"6,300"	"3,717"	"0,0044"	26.07.2018
"1,164,654,631"	"4,839,850,936"	RK	18/07/26-17:15:02	WEIZEN	18	"1,667"	"200,40"	"1,000"	"491,50"	26.07.2018	Ein	"5,900"	Ja	"12,30"	"13,60"	"3,473"	"4496,9"	"3,469"	"4491,7"	Eingang	"0,00048"	7	"6,001"	"3,541"	"0,0044"	26.07.2018
"1,164,653,876"	"4,839,849,587"	RK	18/07/26-17:15:02	WEIZEN	19	"1,750"	"205,40"	"1,000"	"491,54"	26.07.2018	Ein	"5,900"	Ja	"11,98"	"13,30"	"3,224"	"4174,8"	"3,224"	"4174,8"	Eingang	"-0,00011"	7	"6,300"	"3,717"	"0,0043"	26.07.2018
"1,164,652,874"	"4,839,848,184"	RK	18/07/26-17:15:02	WEIZEN	20	"1,667"	"203,90"	"1,000"	"491,57"	26.07.2018	Ein	"5,900"	Ja	"12,43"	"13,50"	"3,512"	"4546,9"	"3,512"	"4546,9"	Eingang	"0,00053"	7	"6,001"	"3,541"	"0,0045"	26.07.2018
"1,164,651,951"	"4,839,846,800"	RK	18/07/26-17:15:02	WEIZEN	21	"1,667"	"201,40"	"1,000"	"491,60"	26.07.2018	Ein	"5,900"	Ja	"12,51"	"13,60"	"3,533"	"4574,5"	"3,529"	"4569,2"	Eingang	"-0,00016"	7	"6,001"	"3,541"	"0,0045"	26.07.2018
"1,164,651,091"	"4,839,845,343"	RK	18/07/26-17:15:02	WEIZEN	22	"1,778"	"200,50"	"1,000"	"491,61"	26.07.2018	Ein	"5,900"	Ja	"11,80"	"13,50"	"3,124"	"4044,8"	"3,124"	"4044,8"	Eingang	"0,00048"	7	"6,401"	"3,776"	"0,0042"	26.07.2018
"1,164,650,213"	"4,839,843,787"	RK	18/07/26-17:15:02	WEIZEN	23	"1,917"	"198,40"	"1,000"	"491,60"	26.07.2018	Ein	"5,900"	Ja	"12,75"	"13,30"	"3,131"	"4054,4"	"3,131"	"4054,4"	Eingang	"-0,00029"	7	"6,901"	"4,072"	"0,0046"	26.07.2018
"1,164,649,374"	"4,839,842,119"	RK	18/07/26-17:15:02	WEIZEN	24	"1,917"	"199,00"	"1,000"	"491,58"	26.07.2018	Ein	"5,900"	Ja	"12,75"	"13,30"	"3,131"	"4054,4"	"3,131"	"4054,4"	Eingang	"0,00024"	7	"6,901"	"4,072"	"0,0046"	26.07.2018
"1,164,648,667"	"4,839,840,754"	RK	18/07/26-17:15:02	WEIZEN	25	"1,833"	"199,90"	"1,000"	"491,58"	26.07.2018	Ein	"5,900"	Ja	"12,24"	"13,30"	"3,144"	"4070,6"	"3,144"	"4070,6"	Eingang	"0,00063"	7	"6,599"	"3,893"	"0,0044"	26.07.2018
"1,164,647,987"	"4,839,839,511"	RK	18/07/26-17:15:02	WEIZEN	26	"1,667"	"200,30"	"1,000"	"491,58"	26.07.2018	Ein	"5,900"	Ja	"12,18"	"13,50"	"3,440"	"4453,7"	"3,440"	"4453,7"	Eingang	"0,00048"	7	"6,001"	"3,541"	"0,0044"	26.07.2018
"1,164,647,170"	"4,839,838,046"	RK	18/07/26-17:15:02	WEIZEN	27	"1,472"	"201,00"	"1,000"	"491,55"	26.07.2018	Ein	"5,900"	Ja	"12,18"	"13,50"	"3,895"	"5043,7"	"3,895"	"5043,7"	Eingang	"0,00018"	7	"5,299"	"3,127"	"0,0044"	26.07.2018
"1,164,646,228"	"4,839,836,418"	RK	18/07/26-17:15:02	WEIZEN	28	"1,806"	"200,00"	"1,000"	"491,48"	26.07.2018	Ein	"5,900"	Ja	"11,54"	"13,50"	"3,009"	"3896,1"	"3,009"	"3896,1"	Eingang	9.25E-02	7	"6,502"	"3,836"	"0,0042"	26.07.2018
"1,164,645,449"	"4,839,834,997"	RK	18/07/26-17:15:02	WEIZEN	29	"1,667"	"198,70"	"1,000"	"491,41"	26.07.2018	Ein	"5,900"	Ja	"12,32"	"13,30"	"3,481"	"4507,0"	"3,481"	"4507,0"	Eingang	"0,00041"	7	"6,001"	"3,541"	"0,0044"	26.07.2018
"1,164,644,800"	"4,839,833,724"	RK	18/07/26-17:15:02	WEIZEN	30	"1,583"	"201,50"	"1,000"	"491,36"	26.07.2018	Ein	"5,900"	Ja	"12,82"	"13,50"	"3,812"	"4935,2"	"3,812"	"4935,2"	Eingang	4.19E-02	7	"5,699"	"3,362"	"0,0046"	26.07.2018
"1,164,644,028"	"4,839,832,422"	RK	18/07/26-17:15:02	WEIZEN	31	"1,583"	"203,50"	"1,000"	"491,31"	26.07.2018	Ein	"5,900"	Ja	"12,98"	"13,60"	"3,859"	"4996,8"	"3,855"	"4991,1"	Eingang	8.56E-02	7	"5,699"	"3,362"	"0,0047"	26.07.2018
