Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
"1,166,578,311"	"4,843,108,859"	147-149	18/07/30-12:26:17	WEIZEN	1456	"2,071"	"89,50"	"1,000"	"486,11"	30.07.2018	Ein	"5,800"	Nein	"25,23"	"14,60"	"5,834"	"7554,2"	"5,760"	"7458,1"	Eingang	"0,00041"	"0,0080"	"0,150"	"0,00"	"50,00"	42	"7,456"	"4,324"	"6,660"	"28,80"	"1,142"	"0,00088"	"0,0091"	"0,259"	30.07.2018
"1,166,580,936"	"4,843,109,150"	147-149	18/07/30-12:26:17	WEIZEN	1457	"2,060"	"79,40"	"1,000"	"486,10"	30.07.2018	Ein	"5,800"	Nein	"29,93"	"13,30"	"6,959"	"9010,2"	"6,959"	"9010,2"	Eingang	"0,00020"	"0,0080"	"0,149"	"0,00"	"51,00"	42	"7,416"	"4,301"	"6,696"	"28,80"	"0,962"	"0,00074"	"0,011"	"0,258"	30.07.2018
"1,166,583,488"	"4,843,109,653"	147-149	18/07/30-12:26:17	WEIZEN	1458	"2,082"	"72,70"	"1,000"	"486,14"	30.07.2018	Ein	"5,800"	Nein	"28,17"	"13,40"	"6,479"	"8389,4"	"6,479"	"8389,4"	Eingang	"-0,00023"	"0,0090"	"0,134"	"0,00"	"52,00"	42	"7,495"	"4,347"	"7,453"	"32,40"	"1,150"	"0,00089"	"0,010"	"0,231"	30.07.2018
"1,166,586,057"	"4,843,110,193"	147-149	18/07/30-12:26:17	WEIZEN	1459	"2,056"	"72,40"	"1,000"	"486,20"	30.07.2018	Ein	"5,800"	Nein	"28,38"	"13,30"	"6,611"	"8560,3"	"6,611"	"8560,3"	Eingang	9.96E-02	"0,0090"	"0,132"	"0,00"	"52,00"	42	"7,402"	"4,293"	"7,547"	"32,40"	"1,142"	"0,00088"	"0,010"	"0,228"	30.07.2018
"1,166,588,625"	"4,843,110,768"	147-149	18/07/30-12:26:17	WEIZEN	1460	"2,043"	"71,20"	"1,000"	"486,28"	30.07.2018	Ein	"5,800"	Nein	"26,77"	"13,30"	"6,275"	"8124,7"	"6,275"	"8124,7"	Eingang	"0,00060"	"0,0090"	"0,132"	"0,00"	"56,00"	42	"7,355"	"4,266"	"7,595"	"32,40"	"1,210"	"0,00093"	"0,0096"	"0,227"	30.07.2018
"1,166,591,191"	"4,843,111,390"	147-149	18/07/30-12:26:17	WEIZEN	1461	"2,064"	"69,80"	"1,000"	"486,34"	30.07.2018	Ein	"5,800"	Nein	"28,32"	"13,60"	"6,571"	"8508,0"	"6,563"	"8498,2"	Eingang	"0,00026"	"0,010"	"0,120"	"0,00"	"57,00"	42	"7,430"	"4,310"	"8,353"	"36,00"	"1,271"	"0,00098"	"0,010"	"0,206"	30.07.2018
"1,166,593,743"	"4,843,112,010"	147-149	18/07/30-12:26:17	WEIZEN	1462	"2,062"	"69,90"	"1,000"	"486,40"	30.07.2018	Ein	"5,800"	Nein	"30,02"	"13,50"	"6,972"	"9026,8"	"6,972"	"9026,8"	Eingang	1.03E-02	"0,010"	"0,120"	"0,00"	"62,00"	42	"7,423"	"4,305"	"8,361"	"36,00"	"1,199"	"0,00093"	"0,011"	"0,206"	30.07.2018
"1,166,596,272"	"4,843,112,636"	147-149	18/07/30-12:26:17	WEIZEN	1463	"2,049"	"69,50"	"1,000"	"486,47"	30.07.2018	Ein	"5,800"	Nein	"33,49"	"13,80"	"7,827"	10135	"7,800"	10100	Eingang	1.60E-03	"0,011"	"0,108"	"0,00"	"68,00"	42	"7,376"	"4,278"	"9,256"	"39,60"	"1,183"	"0,00091"	"0,012"	"0,186"	30.07.2018
"1,166,598,758"	"4,843,113,252"	147-149	18/07/30-12:26:17	WEIZEN	1464	"2,062"	"69,50"	"1,000"	"486,53"	30.07.2018	Ein	"5,800"	Nein	"32,46"	"14,20"	"7,538"	"9760,9"	"7,477"	"9681,9"	Eingang	"-0,00026"	"0,012"	"0,100"	"0,00"	"68,00"	42	"7,423"	"4,305"	"10,03"	"43,20"	"1,331"	"0,0010"	"0,012"	"0,172"	30.07.2018
"1,166,601,172"	"4,843,113,884"	147-149	18/07/30-12:26:17	WEIZEN	1465	"2,041"	"68,40"	"1,000"	"486,59"	30.07.2018	Ein	"5,800"	Nein	"35,00"	"13,30"	"8,213"	10634	"8,213"	10634	Eingang	"0,0011"	"0,012"	"0,099"	"0,00"	"67,00"	42	"7,348"	"4,262"	"10,14"	"43,20"	"1,234"	"0,00095"	"0,013"	"0,170"	30.07.2018
"1,166,603,616"	"4,843,114,551"	147-149	18/07/30-12:26:17	WEIZEN	1466	"2,066"	"67,50"	"1,000"	"486,66"	30.07.2018	Ein	"5,800"	Nein	"32,83"	"13,20"	"7,610"	"9854,0"	"7,610"	"9854,0"	Eingang	"0,00059"	"0,012"	"0,100"	"0,00"	"72,00"	42	"7,438"	"4,314"	"10,01"	"43,20"	"1,316"	"0,0010"	"0,012"	"0,172"	30.07.2018
"1,166,606,104"	"4,843,115,246"	147-149	18/07/30-12:26:17	WEIZEN	1467	"2,026"	"67,10"	"1,000"	"486,73"	30.07.2018	Ein	"5,800"	Nein	"36,85"	"13,50"	"8,711"	11279	"8,711"	11279	Eingang	"0,00050"	"0,012"	"0,098"	"0,00"	"70,00"	42	"7,294"	"4,230"	"10,21"	"43,20"	"1,172"	"0,00091"	"0,013"	"0,169"	30.07.2018
"1,166,608,538"	"4,843,115,938"	147-149	18/07/30-12:26:17	WEIZEN	1468	"2,018"	"66,70"	"1,000"	"486,83"	30.07.2018	Ein	"5,800"	Nein	"31,64"	"13,60"	"7,508"	"9721,7"	"7,499"	"9710,4"	Eingang	-8.71E-02	"0,012"	"0,098"	"0,00"	"68,00"	42	"7,265"	"4,214"	"10,25"	"43,20"	"1,366"	"0,0011"	"0,011"	"0,168"	30.07.2018
"1,166,610,882"	"4,843,116,616"	147-149	18/07/30-12:26:17	WEIZEN	1469	"1,982"	"66,50"	"1,000"	"486,92"	30.07.2018	Ein	"5,800"	Nein	"32,83"	"13,60"	"7,933"	10271	"7,923"	10259	Eingang	"0,00042"	"0,011"	"0,105"	"0,00"	"60,00"	42	"7,135"	"4,138"	"9,569"	"39,60"	"1,206"	"0,00093"	"0,012"	"0,180"	30.07.2018
"1,166,613,208"	"4,843,117,271"	147-149	18/07/30-12:26:17	WEIZEN	1470	"1,968"	"67,00"	"1,000"	"487,01"	30.07.2018	Ein	"5,800"	Nein	"30,15"	"13,60"	"7,338"	"9501,7"	"7,330"	"9490,7"	Eingang	"0,00013"	"0,011"	"0,104"	"0,00"	"70,00"	42	"7,085"	"4,109"	"9,637"	"39,60"	"1,313"	"0,0010"	"0,011"	"0,179"	30.07.2018
"1,166,615,541"	"4,843,117,925"	147-149	18/07/30-12:26:17	WEIZEN	1471	"1,980"	"67,10"	"1,000"	"487,10"	30.07.2018	Ein	"5,800"	Nein	"28,97"	"13,40"	"7,008"	"9074,2"	"7,008"	"9074,2"	Eingang	"-0,00038"	"0,012"	"0,096"	"0,00"	"68,00"	42	"7,128"	"4,134"	"10,45"	"43,20"	"1,491"	"0,0012"	"0,010"	"0,165"	30.07.2018
"1,166,617,885"	"4,843,118,550"	147-149	18/07/30-12:26:17	WEIZEN	1472	"1,972"	"68,30"	"1,000"	"487,18"	30.07.2018	Ein	"5,800"	Nein	"27,90"	"13,30"	"6,775"	"8772,6"	"6,775"	"8772,6"	Eingang	"0,0011"	"0,012"	"0,095"	"0,00"	"70,00"	42	"7,099"	"4,118"	"10,49"	"43,20"	"1,549"	"0,0012"	"0,010"	"0,164"	30.07.2018
"1,166,620,231"	"4,843,119,164"	147-149	18/07/30-12:26:17	WEIZEN	1473	"1,931"	"68,50"	"1,000"	"487,27"	30.07.2018	Ein	"5,800"	Nein	"25,99"	"13,30"	"6,447"	"8347,1"	"6,447"	"8347,1"	Eingang	"0,00066"	"0,012"	"0,093"	"0,00"	"67,00"	42	"6,952"	"4,032"	"10,71"	"43,20"	"1,662"	"0,0013"	"0,0093"	"0,161"	30.07.2018
"1,166,622,550"	"4,843,119,795"	147-149	18/07/30-12:26:17	WEIZEN	1474	"1,952"	"67,60"	"1,000"	"487,37"	30.07.2018	Ein	"5,800"	Nein	"26,59"	"13,40"	"6,523"	"8445,9"	"6,523"	"8445,9"	Eingang	-6.52E-02	"0,012"	"0,094"	"0,00"	"70,00"	42	"7,027"	"4,076"	"10,60"	"43,20"	"1,625"	"0,0013"	"0,0096"	"0,163"	30.07.2018
