Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11.64358159	48.40186133	1	18/07/19-11:55:17	WEIZEN	6788	0.722	316	1	485.91	2018-07-19	Ein	5.9	Nein	1.315	13.5	0.858	1110.7	0.858	1110.7	Eingang	-0.00002867	93	2.599	1.534	0.00047	2018-07-19
11.64357327	48.40186705	1	18/07/19-11:55:17	WEIZEN	6789	0.722	313.6	1	485.76	2018-07-19	Ein	5.9	Nein	3.225	13.5	2.103	2723	2.103	2723	Eingang	0.00039	93	2.599	1.534	0.0012	2018-07-19
11.64356533	48.40187206	1	18/07/19-11:55:17	WEIZEN	6790	0.722	311.1	1	485.64	2018-07-19	Ein	5.9	Nein	5.517	13.5	3.597	4657.8	3.597	4657.8	Eingang	-0.00021	93	2.599	1.534	0.002	2018-07-19
11.64355654	48.40187715	1	18/07/19-11:55:17	WEIZEN	6791	0.694	303.9	1	485.53	2018-07-19	Ein	5.9	Nein	6.747	13.5	4.577	5926.7	4.577	5926.7	Eingang	0.00033	93	2.498	1.474	0.0024	2018-07-19
11.64354833	48.40188081	1	18/07/19-11:55:17	WEIZEN	6792	0.722	300.3	1	485.45	2018-07-19	Ein	5.9	Nein	7.129	13.5	4.649	6019.4	4.649	6019.4	Eingang	0.00012	93	2.599	1.534	0.0026	2018-07-19
11.6435401	48.401884	1	18/07/19-11:55:17	WEIZEN	6793	0.694	304	1	485.38	2018-07-19	Ein	5.9	Nein	7.893	13.5	5.355	6933.2	5.355	6933.2	Eingang	0.00079	93	2.498	1.474	0.0028	2018-07-19
11.64353192	48.40188761	1	18/07/19-11:55:17	WEIZEN	6794	0.722	292.7	1	485.29	2018-07-19	Ein	5.9	Nein	9.548	13.5	6.226	8061.7	6.226	8061.7	Eingang	-0.00007252	93	2.599	1.534	0.0034	2018-07-19
11.64352364	48.4018899	1	18/07/19-11:55:17	WEIZEN	6795	0.694	295.9	1	485.23	2018-07-19	Ein	5.9	Nein	9.59	13.5	6.506	8424.2	6.506	8424.2	Eingang	0.00023	93	2.498	1.474	0.0034	2018-07-19
11.64351513	48.40189259	1	18/07/19-11:55:17	WEIZEN	6796	0.694	312.3	1	485.17	2018-07-19	Ein	5.9	Nein	11.5	13.5	7.802	10102	7.802	10102	Eingang	0.0006	93	2.498	1.474	0.0041	2018-07-19
11.64350841	48.40189658	1	18/07/19-11:55:17	WEIZEN	6797	0.694	316.7	1	485.13	2018-07-19	Ein	5.9	Nein	12.52	13.5	8.492	10996	8.492	10996	Eingang	0.000001542	93	2.498	1.474	0.0045	2018-07-19
