Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11,70126829	48,40306750	D>4	18/07/27-14:51:33	WEIZEN	1	0,998	138,90	1,000	472,07	27.07.2018	Ein	5,800	Nein	2,714	14,80	1,302	1686,3	1,283	1660,9	Eingang	0,00	0,0070	0,083	0,00	48,00	1	3,593	2,084	12,09	25,20	9,286	0,0072	0,00098	0,143	27.07.2018
11,70127705	48,40305989	D>4	18/07/27-14:51:33	WEIZEN	2	1,024	143,50	1,000	472,07	27.07.2018	Ein	5,800	Nein	5,460	14,80	2,553	3306,2	2,515	3256,5	Eingang	0,00046	0,0080	0,074	0,00	48,00	1	3,686	2,138	13,47	28,80	5,275	0,0041	0,0020	0,128	27.07.2018
11,70128648	48,40305174	D>4	18/07/27-14:51:33	WEIZEN	3	1,000	142,20	1,000	472,08	27.07.2018	Ein	5,800	Nein	9,131	14,80	4,373	5662,4	4,307	5577,3	Eingang	0,00038	0,0080	0,072	0,00	39,00	1	3,600	2,088	13,79	28,80	3,154	0,0024	0,0033	0,125	27.07.2018
11,70129156	48,40304371	D>4	18/07/27-14:51:33	WEIZEN	4	0,944	160,50	1,000	472,12	27.07.2018	Ein	5,800	Nein	10,54	14,30	5,349	6926,2	5,300	6862,1	Eingang	-0,00037	0,0060	0,091	0,00	43,00	1	3,398	1,971	10,96	21,60	2,049	0,0016	0,0038	0,157	27.07.2018
11,70129449	48,40303500	D>4	18/07/27-14:51:33	WEIZEN	5	0,981	169,00	1,000	472,14	27.07.2018	Ein	5,800	Nein	12,24	14,30	5,977	7738,7	5,921	7667,1	Eingang	0,00017	0,0060	0,095	0,00	50,00	1	3,532	2,048	10,55	21,60	1,764	0,0014	0,0044	0,164	27.07.2018
11,70129590	48,40302715	D>4	18/07/27-14:51:33	WEIZEN	6	0,965	174,40	1,000	472,14	27.07.2018	Ein	5,800	Nein	13,03	14,40	6,469	8375,5	6,401	8288,4	Eingang	0,00044	0,0080	0,070	0,00	55,00	1	3,474	2,015	14,29	28,80	2,210	0,0017	0,0047	0,121	27.07.2018
11,70129665	48,40301904	D>4	18/07/27-14:51:33	WEIZEN	7	0,942	177,00	1,000	472,17	27.07.2018	Ein	5,800	Nein	14,02	14,50	7,126	9226,6	7,043	9119,9	Eingang	0,00026	0,0090	0,061	0,00	54,00	1	3,391	1,967	16,47	32,40	2,312	0,0018	0,0050	0,105	27.07.2018
11,70129711	48,40301076	D>4	18/07/27-14:51:33	WEIZEN	8	0,976	178,10	1,000	472,22	27.07.2018	Ein	5,800	Nein	15,38	14,30	7,548	9773,8	7,479	9683,4	Eingang	0,00014	0,0090	0,063	0,00	50,00	1	3,514	2,038	15,90	32,40	2,106	0,0016	0,0055	0,108	27.07.2018
11,70129745	48,40300179	D>4	18/07/27-14:51:33	WEIZEN	9	0,972	178,70	1,000	472,28	27.07.2018	Ein	5,800	Nein	14,77	14,30	7,279	9425,5	7,212	9338,4	Eingang	9,093e-05	0,0080	0,070	0,00	56,00	1	3,499	2,030	14,19	28,80	1,949	0,0015	0,0053	0,121	27.07.2018
11,70129663	48,40299231	D>4	18/07/27-14:51:33	WEIZEN	10	1,258	184,40	1,000	472,35	27.07.2018	Ein	5,800	Nein	17,54	13,70	6,679	8648,5	6,664	8628,5	Eingang	0,00014	0,0090	0,081	0,00	56,00	1	4,529	2,627	12,33	32,40	1,847	0,0014	0,0063	0,140	27.07.2018
