Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Kraftstoffverbrauch(L)	Kraftst.eff. (A)(ha/L)	Mot.-Leist.(W)	Mtr.belast.(%)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Kraftst.verbr. (F)(L/ha)	Kraftst.verbr. (Z)(L/h)	Kraftst.verbr. (M)(L/tonne)	Kraftst.verbr. (V)(L/L)	Fruchtdurchs. (V)(m³/s)	Kraftstoffeff.(km/L)	Datum
11,73692749	48,43297153	>4	18/07/28-15:36:29	WEIZEN	1	0,604	184,40	1,000	478,04	28.07.2018	Ein	5,800	Nein	0,600	16,20	0,476	616,23	0,461	596,99	Eingang	-0,00021	0,0070	0,050	0,00	49,00	3	2,174	1,261	19,98	25,20	41,99	0,032	0,00022	0,086	28.07.2018
11,73692574	48,43296574	>4	18/07/28-15:36:29	WEIZEN	2	0,743	194,20	1,000	478,10	28.07.2018	Ein	5,800	Nein	1,106	16,20	0,713	922,79	0,690	893,99	Eingang	-0,00062	0,0080	0,054	0,00	46,00	3	2,675	1,551	18,56	28,80	26,05	0,020	0,00040	0,093	28.07.2018
11,73692072	48,43296198	>4	18/07/28-15:36:29	WEIZEN	3	0,730	231,00	1,000	478,09	28.07.2018	Ein	5,800	Nein	1,927	16,20	1,264	1636,9	1,225	1585,8	Eingang	0,00014	0,0070	0,060	0,00	49,00	3	2,628	1,524	16,53	25,20	13,08	0,010	0,00069	0,104	28.07.2018
11,73691199	48,43295778	>4	18/07/28-15:36:29	WEIZEN	4	0,777	235,00	1,000	478,14	28.07.2018	Ein	5,800	Nein	2,782	16,10	1,715	2220,3	1,663	2153,6	Eingang	-0,00053	0,0070	0,064	0,00	46,00	3	2,797	1,622	15,53	25,20	9,058	0,0070	0,0010	0,111	28.07.2018
11,73690440	48,43295221	>4	18/07/28-15:36:29	WEIZEN	5	0,782	217,40	1,000	478,17	28.07.2018	Ein	5,800	Nein	2,990	15,30	1,831	2370,9	1,793	2321,6	Eingang	-0,00062	0,0080	0,057	0,00	40,00	3	2,815	1,633	17,64	28,80	9,633	0,0074	0,0011	0,098	28.07.2018
11,73689694	48,43294623	>4	18/07/28-15:36:29	WEIZEN	6	0,773	220,30	1,000	478,23	28.07.2018	Ein	5,800	Nein	4,036	15,40	2,501	3238,1	2,446	3167,0	Eingang	-0,00060	0,0070	0,064	0,00	49,00	3	2,783	1,614	15,61	25,20	6,243	0,0048	0,0015	0,110	28.07.2018
11,73688789	48,43294189	>4	18/07/28-15:36:29	WEIZEN	7	0,807	237,90	1,000	478,29	28.07.2018	Ein	5,800	Nein	5,717	15,50	3,393	4392,7	3,314	4291,2	Eingang	-0,00097	0,0080	0,059	0,00	48,00	3	2,905	1,685	17,09	28,80	5,038	0,0039	0,0021	0,101	28.07.2018
11,73687805	48,43293858	>4	18/07/28-15:36:29	WEIZEN	8	0,783	244,70	1,000	478,30	28.07.2018	Ein	5,800	Nein	10,22	15,20	6,250	8092,2	6,127	7933,2	Eingang	-0,00061	0,0080	0,057	0,00	50,00	3	2,819	1,635	17,62	28,80	2,819	0,0022	0,0037	0,098	28.07.2018
11,73686735	48,43293512	>4	18/07/28-15:36:29	WEIZEN	9	0,913	243,90	1,000	478,30	28.07.2018	Ein	5,800	Nein	13,35	15,70	7,003	9067,5	6,825	8836,9	Eingang	-0,00031	0,0080	0,066	0,00	49,00	3	3,287	1,906	15,11	28,80	2,157	0,0017	0,0048	0,114	28.07.2018
11,73685675	48,43293010	>4	18/07/28-15:36:29	WEIZEN	10	0,945	231,70	1,000	478,32	28.07.2018	Ein	5,800	Nein	16,25	16,10	8,235	10663	7,988	10343	Eingang	8,777e-05	0,0080	0,069	0,00	48,00	3	3,402	1,973	14,60	28,80	1,772	0,0014	0,0058	0,118	28.07.2018
